country_code,country_name,year,population,gdp_per_capita,electricity_price_avg,energy_intensity,unemployment_rate,poverty_by_degree_of_urbanization,service_sector_percentage,industry_sector_percentage,avg_household_size,energy_poverty_rate,primary_heating_type,data_quality_score
CZ,Czech Republic,2020,10693939.0,20980.0,0.13019999999999998,4.66,2.6,13.1,95.4,93.6,2.2,2.2,District Heating,11
CZ,Czech Republic,2021,10494836.0,23430.0,0.1391,4.58,2.8,11.5,100.0,99.7,2.2,2.2,District Heating,11
CZ,Czech Republic,2022,10516707.0,26670.0,0.1978,4.81,2.2,12.5,102.2,101.7,2.2,2.9,District Heating,11
CZ,Czech Republic,2023,10827529.0,29180.0,0.2603,5.23,2.6,12.9,99.4,100.9,2.3,6.1,District Heating,11
CZ,Czech Republic,2024,10900555.0,29280.0,0.25425,,2.6,13.4,100.2,99.8,2.3,4.9,District Heating,10
DE,Germany,2020,83166711.0,41480.0,0.14405,10.22,3.7,7.0,95.6,95.0,2.0,7.0,Natural Gas,11
DE,Germany,2021,83155031.0,44190.0,0.15789999999999998,10.19,3.7,7.4,100.0,99.3,2.0,3.3,Natural Gas,11
DE,Germany,2022,83237124.0,47180.0,0.2116,10.84,3.2,9.1,105.7,99.1,2.0,6.7,Natural Gas,11
DE,Germany,2023,83118501.0,49520.0,0.29275,11.84,3.1,10.3,106.1,97.2,2.0,8.2,Natural Gas,11
DE,Germany,2024,83456045.0,50830.0,0.28015,,3.4,7.8,106.4,92.7,2.0,6.3,Natural Gas,10
ES,Spain,2020,47318050.0,23850.0,0.12190000000000001,9.02,15.5,22.2,,93.0,2.5,10.9,Natural Gas,10
ES,Spain,2021,47400798.0,26090.0,0.1618,9.07,14.9,21.3,100.0,100.0,2.5,14.2,Natural Gas,11
ES,Spain,2022,47486843.0,28750.0,0.27725,9.42,13.0,21.3,107.1,102.5,2.5,17.1,Natural Gas,11
ES,Spain,2023,48085361.0,30970.0,0.21165,9.94,12.2,21.9,109.0,100.9,2.5,20.8,Natural Gas,11
ES,Spain,2024,48619695.0,32590.0,0.18615,,11.4,21.5,111.9,101.4,2.5,17.5,Natural Gas,10
FR,France,2020,67473651.0,34280.0,0.1267,9.27,8.0,21.1,92.0,94.7,2.2,6.7,Electricity,11
FR,France,2021,67728568.0,36920.0,0.13224999999999998,9.16,7.9,17.5,100.0,100.0,2.1,6.0,Electricity,11
FR,France,2022,68091703.0,38920.0,0.16444999999999999,10.31,7.3,22.1,107.8,100.6,2.1,10.7,Electricity,11
FR,France,2023,68277210.0,41340.0,0.2027,10.23,7.3,22.3,110.0,101.5,2.1,12.1,Electricity,11
FR,France,2024,68467362.0,42590.0,0.2221,,7.4,22.2,112.6,101.4,2.1,11.8,Electricity,10
HU,Hungary,2020,9689376.0,14370.0,0.0803,4.79,4.1,22.8,92.1,91.3,2.3,4.2,District Heating,11
HU,Hungary,2021,9651461.0,16090.0,0.07925,4.9,4.0,18.0,100.0,100.0,2.3,5.4,District Heating,11
HU,Hungary,2022,9610403.0,17600.0,0.07995,5.42,3.6,16.6,111.0,106.1,2.3,4.7,District Heating,11
HU,Hungary,2023,9599744.0,20630.0,0.0901,5.69,4.1,16.3,102.5,101.0,2.3,7.2,District Heating,11
HU,Hungary,2024,9584627.0,21570.0,0.08365,,4.5,14.2,103.9,97.2,2.3,6.1,District Heating,10
IT,Italy,2020,59641488.0,28100.0,0.13565,10.3,9.3,25.4,,89.1,2.3,8.3,Natural Gas,10
IT,Italy,2021,59236213.0,31160.0,0.1596,10.32,9.5,25.8,100.0,100.0,2.3,8.1,Natural Gas,11
IT,Italy,2022,59030133.0,33860.0,0.29315,11.24,8.1,22.9,106.4,100.3,2.2,8.8,Natural Gas,11
IT,Italy,2023,58997201.0,36130.0,0.28975,11.8,7.7,19.1,107.4,98.3,2.2,9.5,Natural Gas,11
IT,Italy,2024,58971230.0,37180.0,0.23415000000000002,,6.5,18.0,107.5,94.4,2.2,8.6,Natural Gas,10
PL,Poland,2020,37958138.0,14310.0,0.09395,4.81,3.2,14.0,,87.1,2.6,3.2,,9
PL,Poland,2021,37073357.0,15770.0,0.09015000000000001,4.83,3.4,13.0,100.0,100.0,2.5,3.2,,10
PL,Poland,2022,36889761.0,17520.0,0.09575,5.33,2.9,13.1,109.8,110.5,2.5,4.9,,10
PL,Poland,2023,36753736.0,19980.0,0.1041,5.69,2.8,12.7,111.4,109.4,2.4,4.7,,10
PL,Poland,2024,36620970.0,22560.0,0.1217,,2.9,10.8,115.0,109.9,2.3,3.3,,9
SK,Slovakia,2020,5457873.0,17270.0,0.109,5.15,6.7,25.9,92.4,90.0,2.7,5.7,Natural Gas,11
SK,Slovakia,2021,5459781.0,18740.0,0.10385,5.03,6.8,21.4,100.0,100.0,2.9,5.8,Natural Gas,11
SK,Slovakia,2022,5434712.0,20170.0,0.12785000000000002,5.41,6.1,27.1,104.1,95.6,2.9,7.1,Natural Gas,11
SK,Slovakia,2023,5428792.0,22690.0,0.1276,5.48,5.8,25.8,98.1,99.5,3.1,8.1,Natural Gas,11
SK,Slovakia,2024,5424687.0,24000.0,0.1235,,5.3,23.1,98.8,99.7,3.1,8.3,Natural Gas,10
