country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,4.66,energy_intensity
CZ,Czechia,2021,4.58,energy_intensity
CZ,Czechia,2022,4.81,energy_intensity
CZ,Czechia,2023,5.23,energy_intensity
DE,Germany,2020,10.22,energy_intensity
DE,Germany,2021,10.19,energy_intensity
DE,Germany,2022,10.84,energy_intensity
DE,Germany,2023,11.84,energy_intensity
ES,Spain,2020,9.02,energy_intensity
ES,Spain,2021,9.07,energy_intensity
ES,Spain,2022,9.42,energy_intensity
ES,Spain,2023,9.94,energy_intensity
FR,France,2020,9.27,energy_intensity
FR,France,2021,9.16,energy_intensity
FR,France,2022,10.31,energy_intensity
FR,France,2023,10.23,energy_intensity
HU,Hungary,2020,4.79,energy_intensity
HU,Hungary,2021,4.9,energy_intensity
HU,Hungary,2022,5.42,energy_intensity
HU,Hungary,2023,5.69,energy_intensity
IT,Italy,2020,10.3,energy_intensity
IT,Italy,2021,10.32,energy_intensity
IT,Italy,2022,11.24,energy_intensity
IT,Italy,2023,11.8,energy_intensity
PL,Poland,2020,4.81,energy_intensity
PL,Poland,2021,4.83,energy_intensity
PL,Poland,2022,5.33,energy_intensity
PL,Poland,2023,5.69,energy_intensity
SK,Slovakia,2020,5.15,energy_intensity
SK,Slovakia,2021,5.03,energy_intensity
SK,Slovakia,2022,5.41,energy_intensity
SK,Slovakia,2023,5.48,energy_intensity
