country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,2.2,energy_poverty
CZ,Czechia,2021,2.2,energy_poverty
CZ,Czechia,2022,2.9,energy_poverty
CZ,Czechia,2023,6.1,energy_poverty
CZ,Czechia,2024,4.9,energy_poverty
DE,Germany,2020,7.0,energy_poverty
DE,Germany,2021,3.3,energy_poverty
DE,Germany,2022,6.7,energy_poverty
DE,Germany,2023,8.2,energy_poverty
DE,Germany,2024,6.3,energy_poverty
ES,Spain,2020,10.9,energy_poverty
ES,Spain,2021,14.2,energy_poverty
ES,Spain,2022,17.1,energy_poverty
ES,Spain,2023,20.8,energy_poverty
ES,Spain,2024,17.5,energy_poverty
FR,France,2020,6.7,energy_poverty
FR,France,2021,6.0,energy_poverty
FR,France,2022,10.7,energy_poverty
FR,France,2023,12.1,energy_poverty
FR,France,2024,11.8,energy_poverty
HU,Hungary,2020,4.2,energy_poverty
HU,Hungary,2021,5.4,energy_poverty
HU,Hungary,2022,4.7,energy_poverty
HU,Hungary,2023,7.2,energy_poverty
HU,Hungary,2024,6.1,energy_poverty
IT,Italy,2020,8.3,energy_poverty
IT,Italy,2021,8.1,energy_poverty
IT,Italy,2022,8.8,energy_poverty
IT,Italy,2023,9.5,energy_poverty
IT,Italy,2024,8.6,energy_poverty
PL,Poland,2020,3.2,energy_poverty
PL,Poland,2021,3.2,energy_poverty
PL,Poland,2022,4.9,energy_poverty
PL,Poland,2023,4.7,energy_poverty
PL,Poland,2024,3.3,energy_poverty
SK,Slovakia,2020,5.7,energy_poverty
SK,Slovakia,2021,5.8,energy_poverty
SK,Slovakia,2022,7.1,energy_poverty
SK,Slovakia,2023,8.1,energy_poverty
SK,Slovakia,2024,8.3,energy_poverty
