country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,20980.0,gdp_per_capita
CZ,Czechia,2021,23430.0,gdp_per_capita
CZ,Czechia,2022,26670.0,gdp_per_capita
CZ,Czechia,2023,29180.0,gdp_per_capita
CZ,Czechia,2024,29280.0,gdp_per_capita
DE,Germany,2020,41480.0,gdp_per_capita
DE,Germany,2021,44190.0,gdp_per_capita
DE,Germany,2022,47180.0,gdp_per_capita
DE,Germany,2023,49520.0,gdp_per_capita
DE,Germany,2024,50830.0,gdp_per_capita
ES,Spain,2020,23850.0,gdp_per_capita
ES,Spain,2021,26090.0,gdp_per_capita
ES,Spain,2022,28750.0,gdp_per_capita
ES,Spain,2023,30970.0,gdp_per_capita
ES,Spain,2024,32590.0,gdp_per_capita
FR,France,2020,34280.0,gdp_per_capita
FR,France,2021,36920.0,gdp_per_capita
FR,France,2022,38920.0,gdp_per_capita
FR,France,2023,41340.0,gdp_per_capita
FR,France,2024,42590.0,gdp_per_capita
HU,Hungary,2020,14370.0,gdp_per_capita
HU,Hungary,2021,16090.0,gdp_per_capita
HU,Hungary,2022,17600.0,gdp_per_capita
HU,Hungary,2023,20630.0,gdp_per_capita
HU,Hungary,2024,21570.0,gdp_per_capita
IT,Italy,2020,28100.0,gdp_per_capita
IT,Italy,2021,31160.0,gdp_per_capita
IT,Italy,2022,33860.0,gdp_per_capita
IT,Italy,2023,36130.0,gdp_per_capita
IT,Italy,2024,37180.0,gdp_per_capita
PL,Poland,2020,14310.0,gdp_per_capita
PL,Poland,2021,15770.0,gdp_per_capita
PL,Poland,2022,17520.0,gdp_per_capita
PL,Poland,2023,19980.0,gdp_per_capita
PL,Poland,2024,22560.0,gdp_per_capita
SK,Slovakia,2020,17270.0,gdp_per_capita
SK,Slovakia,2021,18740.0,gdp_per_capita
SK,Slovakia,2022,20170.0,gdp_per_capita
SK,Slovakia,2023,22690.0,gdp_per_capita
SK,Slovakia,2024,24000.0,gdp_per_capita
