country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,2.2,household_size
CZ,Czechia,2021,2.2,household_size
CZ,Czechia,2022,2.2,household_size
CZ,Czechia,2023,2.3,household_size
CZ,Czechia,2024,2.3,household_size
DE,Germany,2020,2.0,household_size
DE,Germany,2021,2.0,household_size
DE,Germany,2022,2.0,household_size
DE,Germany,2023,2.0,household_size
DE,Germany,2024,2.0,household_size
ES,Spain,2020,2.5,household_size
ES,Spain,2021,2.5,household_size
ES,Spain,2022,2.5,household_size
ES,Spain,2023,2.5,household_size
ES,Spain,2024,2.5,household_size
FR,France,2020,2.2,household_size
FR,France,2021,2.1,household_size
FR,France,2022,2.1,household_size
FR,France,2023,2.1,household_size
FR,France,2024,2.1,household_size
HU,Hungary,2020,2.3,household_size
HU,Hungary,2021,2.3,household_size
HU,Hungary,2022,2.3,household_size
HU,Hungary,2023,2.3,household_size
HU,Hungary,2024,2.3,household_size
IT,Italy,2020,2.3,household_size
IT,Italy,2021,2.3,household_size
IT,Italy,2022,2.2,household_size
IT,Italy,2023,2.2,household_size
IT,Italy,2024,2.2,household_size
PL,Poland,2020,2.6,household_size
PL,Poland,2021,2.5,household_size
PL,Poland,2022,2.5,household_size
PL,Poland,2023,2.4,household_size
PL,Poland,2024,2.3,household_size
SK,Slovakia,2020,2.7,household_size
SK,Slovakia,2021,2.9,household_size
SK,Slovakia,2022,2.9,household_size
SK,Slovakia,2023,3.1,household_size
SK,Slovakia,2024,3.1,household_size
