country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,93.6,industry_sector
CZ,Czechia,2021,99.7,industry_sector
CZ,Czechia,2022,101.7,industry_sector
CZ,Czechia,2023,100.9,industry_sector
CZ,Czechia,2024,99.8,industry_sector
DE,Germany,2020,95.0,industry_sector
DE,Germany,2021,99.3,industry_sector
DE,Germany,2022,99.1,industry_sector
DE,Germany,2023,97.2,industry_sector
DE,Germany,2024,92.7,industry_sector
ES,Spain,2020,93.0,industry_sector
ES,Spain,2021,100.0,industry_sector
ES,Spain,2022,102.5,industry_sector
ES,Spain,2023,100.9,industry_sector
ES,Spain,2024,101.4,industry_sector
FR,France,2020,94.7,industry_sector
FR,France,2021,100.0,industry_sector
FR,France,2022,100.6,industry_sector
FR,France,2023,101.5,industry_sector
FR,France,2024,101.4,industry_sector
HU,Hungary,2020,91.3,industry_sector
HU,Hungary,2021,100.0,industry_sector
HU,Hungary,2022,106.1,industry_sector
HU,Hungary,2023,101.0,industry_sector
HU,Hungary,2024,97.2,industry_sector
IT,Italy,2020,89.1,industry_sector
IT,Italy,2021,100.0,industry_sector
IT,Italy,2022,100.3,industry_sector
IT,Italy,2023,98.3,industry_sector
IT,Italy,2024,94.4,industry_sector
PL,Poland,2020,87.1,industry_sector
PL,Poland,2021,100.0,industry_sector
PL,Poland,2022,110.5,industry_sector
PL,Poland,2023,109.4,industry_sector
PL,Poland,2024,109.9,industry_sector
SK,Slovakia,2020,90.0,industry_sector
SK,Slovakia,2021,100.0,industry_sector
SK,Slovakia,2022,95.6,industry_sector
SK,Slovakia,2023,99.5,industry_sector
SK,Slovakia,2024,99.7,industry_sector
