country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,10693939.0,population
CZ,Czechia,2021,10494836.0,population
CZ,Czechia,2022,10516707.0,population
CZ,Czechia,2023,10827529.0,population
CZ,Czechia,2024,10900555.0,population
DE,Germany,2020,83166711.0,population
DE,Germany,2021,83155031.0,population
DE,Germany,2022,83237124.0,population
DE,Germany,2023,83118501.0,population
DE,Germany,2024,83456045.0,population
ES,Spain,2020,47318050.0,population
ES,Spain,2021,47400798.0,population
ES,Spain,2022,47486843.0,population
ES,Spain,2023,48085361.0,population
ES,Spain,2024,48619695.0,population
FR,France,2020,67473651.0,population
FR,France,2021,67728568.0,population
FR,France,2022,68091703.0,population
FR,France,2023,68277210.0,population
FR,France,2024,68467362.0,population
HU,Hungary,2020,9689376.0,population
HU,Hungary,2021,9651461.0,population
HU,Hungary,2022,9610403.0,population
HU,Hungary,2023,9599744.0,population
HU,Hungary,2024,9584627.0,population
IT,Italy,2020,59641488.0,population
IT,Italy,2021,59236213.0,population
IT,Italy,2022,59030133.0,population
IT,Italy,2023,58997201.0,population
IT,Italy,2024,58971230.0,population
PL,Poland,2020,37958138.0,population
PL,Poland,2021,37073357.0,population
PL,Poland,2022,36889761.0,population
PL,Poland,2023,36753736.0,population
PL,Poland,2024,36620970.0,population
SK,Slovakia,2020,5457873.0,population
SK,Slovakia,2021,5459781.0,population
SK,Slovakia,2022,5434712.0,population
SK,Slovakia,2023,5428792.0,population
SK,Slovakia,2024,5424687.0,population
