country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,13.1,poverty_by_degree_of_urbanization
CZ,Czechia,2021,11.5,poverty_by_degree_of_urbanization
CZ,Czechia,2022,12.5,poverty_by_degree_of_urbanization
CZ,Czechia,2023,12.9,poverty_by_degree_of_urbanization
CZ,Czechia,2024,13.4,poverty_by_degree_of_urbanization
DE,Germany,2020,7.0,poverty_by_degree_of_urbanization
DE,Germany,2021,7.4,poverty_by_degree_of_urbanization
DE,Germany,2022,9.1,poverty_by_degree_of_urbanization
DE,Germany,2023,10.3,poverty_by_degree_of_urbanization
DE,Germany,2024,7.8,poverty_by_degree_of_urbanization
ES,Spain,2020,22.2,poverty_by_degree_of_urbanization
ES,Spain,2021,21.3,poverty_by_degree_of_urbanization
ES,Spain,2022,21.3,poverty_by_degree_of_urbanization
ES,Spain,2023,21.9,poverty_by_degree_of_urbanization
ES,Spain,2024,21.5,poverty_by_degree_of_urbanization
FR,France,2020,21.1,poverty_by_degree_of_urbanization
FR,France,2021,17.5,poverty_by_degree_of_urbanization
FR,France,2022,22.1,poverty_by_degree_of_urbanization
FR,France,2023,22.3,poverty_by_degree_of_urbanization
FR,France,2024,22.2,poverty_by_degree_of_urbanization
HU,Hungary,2020,22.8,poverty_by_degree_of_urbanization
HU,Hungary,2021,18.0,poverty_by_degree_of_urbanization
HU,Hungary,2022,16.6,poverty_by_degree_of_urbanization
HU,Hungary,2023,16.3,poverty_by_degree_of_urbanization
HU,Hungary,2024,14.2,poverty_by_degree_of_urbanization
IT,Italy,2020,25.4,poverty_by_degree_of_urbanization
IT,Italy,2021,25.8,poverty_by_degree_of_urbanization
IT,Italy,2022,22.9,poverty_by_degree_of_urbanization
IT,Italy,2023,19.1,poverty_by_degree_of_urbanization
IT,Italy,2024,18.0,poverty_by_degree_of_urbanization
PL,Poland,2020,14.0,poverty_by_degree_of_urbanization
PL,Poland,2021,13.0,poverty_by_degree_of_urbanization
PL,Poland,2022,13.1,poverty_by_degree_of_urbanization
PL,Poland,2023,12.7,poverty_by_degree_of_urbanization
PL,Poland,2024,10.8,poverty_by_degree_of_urbanization
SK,Slovakia,2020,25.9,poverty_by_degree_of_urbanization
SK,Slovakia,2021,21.4,poverty_by_degree_of_urbanization
SK,Slovakia,2022,27.1,poverty_by_degree_of_urbanization
SK,Slovakia,2023,25.8,poverty_by_degree_of_urbanization
SK,Slovakia,2024,23.1,poverty_by_degree_of_urbanization
