country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,95.4,service_sector
CZ,Czechia,2021,100.0,service_sector
CZ,Czechia,2022,102.2,service_sector
CZ,Czechia,2023,99.4,service_sector
CZ,Czechia,2024,100.2,service_sector
DE,Germany,2020,95.6,service_sector
DE,Germany,2021,100.0,service_sector
DE,Germany,2022,105.7,service_sector
DE,Germany,2023,106.1,service_sector
DE,Germany,2024,106.4,service_sector
ES,Spain,2021,100.0,service_sector
ES,Spain,2022,107.1,service_sector
ES,Spain,2023,109.0,service_sector
ES,Spain,2024,111.9,service_sector
FR,France,2020,92.0,service_sector
FR,France,2021,100.0,service_sector
FR,France,2022,107.8,service_sector
FR,France,2023,110.0,service_sector
FR,France,2024,112.6,service_sector
HU,Hungary,2020,92.1,service_sector
HU,Hungary,2021,100.0,service_sector
HU,Hungary,2022,111.0,service_sector
HU,Hungary,2023,102.5,service_sector
HU,Hungary,2024,103.9,service_sector
IT,Italy,2021,100.0,service_sector
IT,Italy,2022,106.4,service_sector
IT,Italy,2023,107.4,service_sector
IT,Italy,2024,107.5,service_sector
PL,Poland,2021,100.0,service_sector
PL,Poland,2022,109.8,service_sector
PL,Poland,2023,111.4,service_sector
PL,Poland,2024,115.0,service_sector
SK,Slovakia,2020,92.4,service_sector
SK,Slovakia,2021,100.0,service_sector
SK,Slovakia,2022,104.1,service_sector
SK,Slovakia,2023,98.1,service_sector
SK,Slovakia,2024,98.8,service_sector
