country_code,country_name,time_period,value,dataset
CZ,Czechia,2020,2.6,unemployment_rate
CZ,Czechia,2021,2.8,unemployment_rate
CZ,Czechia,2022,2.2,unemployment_rate
CZ,Czechia,2023,2.6,unemployment_rate
CZ,Czechia,2024,2.6,unemployment_rate
DE,Germany,2020,3.7,unemployment_rate
DE,Germany,2021,3.7,unemployment_rate
DE,Germany,2022,3.2,unemployment_rate
DE,Germany,2023,3.1,unemployment_rate
DE,Germany,2024,3.4,unemployment_rate
ES,Spain,2020,15.5,unemployment_rate
ES,Spain,2021,14.9,unemployment_rate
ES,Spain,2022,13.0,unemployment_rate
ES,Spain,2023,12.2,unemployment_rate
ES,Spain,2024,11.4,unemployment_rate
FR,France,2020,8.0,unemployment_rate
FR,France,2021,7.9,unemployment_rate
FR,France,2022,7.3,unemployment_rate
FR,France,2023,7.3,unemployment_rate
FR,France,2024,7.4,unemployment_rate
HU,Hungary,2020,4.1,unemployment_rate
HU,Hungary,2021,4.0,unemployment_rate
HU,Hungary,2022,3.6,unemployment_rate
HU,Hungary,2023,4.1,unemployment_rate
HU,Hungary,2024,4.5,unemployment_rate
IT,Italy,2020,9.3,unemployment_rate
IT,Italy,2021,9.5,unemployment_rate
IT,Italy,2022,8.1,unemployment_rate
IT,Italy,2023,7.7,unemployment_rate
IT,Italy,2024,6.5,unemployment_rate
PL,Poland,2020,3.2,unemployment_rate
PL,Poland,2021,3.4,unemployment_rate
PL,Poland,2022,2.9,unemployment_rate
PL,Poland,2023,2.8,unemployment_rate
PL,Poland,2024,2.9,unemployment_rate
SK,Slovakia,2020,6.7,unemployment_rate
SK,Slovakia,2021,6.8,unemployment_rate
SK,Slovakia,2022,6.1,unemployment_rate
SK,Slovakia,2023,5.8,unemployment_rate
SK,Slovakia,2024,5.3,unemployment_rate
