date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-03-05,8.7,0.5,4.7,52.2297,21.0122,PL-WAW,Warsaw,13.3,0.0,PL,Poland
2024-03-06,7.5,0.2,3.2,52.2297,21.0122,PL-WAW,Warsaw,14.8,0.0,PL,Poland
2024-03-07,7.4,0.3,3.5,52.2297,21.0122,PL-WAW,Warsaw,14.5,0.0,PL,Poland
2024-03-08,7.4,-0.3,3.0,52.2297,21.0122,PL-WAW,Warsaw,15.0,0.0,PL,Poland
2024-03-09,5.4,-0.3,1.8,52.2297,21.0122,PL-WAW,Warsaw,16.2,0.0,PL,Poland
2024-03-10,4.6,-0.7,1.8,52.2297,21.0122,PL-WAW,Warsaw,16.2,0.0,PL,Poland
2024-03-05,9.4,-0.5,4.1,50.0647,19.945,PL-KRK,Krakow,13.9,0.0,PL,Poland
2024-03-06,8.3,-1.1,3.0,50.0647,19.945,PL-KRK,Krakow,15.0,0.0,PL,Poland
2024-03-07,6.6,-0.6,2.8,50.0647,19.945,PL-KRK,Krakow,15.2,0.0,PL,Poland
2024-03-08,5.6,-0.9,2.0,50.0647,19.945,PL-KRK,Krakow,16.0,0.0,PL,Poland
2024-03-09,5.6,-2.0,1.6,50.0647,19.945,PL-KRK,Krakow,16.4,0.0,PL,Poland
2024-03-10,5.3,-4.0,0.5,50.0647,19.945,PL-KRK,Krakow,17.5,0.0,PL,Poland
2024-03-05,6.0,0.9,3.4,54.352,18.6466,PL-GDN,Gdansk,14.6,0.0,PL,Poland
2024-03-06,7.5,0.3,3.7,54.352,18.6466,PL-GDN,Gdansk,14.3,0.0,PL,Poland
2024-03-07,6.3,1.0,3.7,54.352,18.6466,PL-GDN,Gdansk,14.3,0.0,PL,Poland
2024-03-08,6.7,0.3,3.3,54.352,18.6466,PL-GDN,Gdansk,14.7,0.0,PL,Poland
2024-03-09,6.6,-0.0,4.1,54.352,18.6466,PL-GDN,Gdansk,13.9,0.0,PL,Poland
2024-03-10,5.9,-0.5,2.1,54.352,18.6466,PL-GDN,Gdansk,15.9,0.0,PL,Poland
2024-03-05,7.0,-0.1,3.8,52.52,13.405,DE-BER,Berlin,14.2,0.0,DE,Germany
2024-03-06,8.5,-0.3,4.6,52.52,13.405,DE-BER,Berlin,13.4,0.0,DE,Germany
2024-03-07,8.3,0.5,4.4,52.52,13.405,DE-BER,Berlin,13.6,0.0,DE,Germany
2024-03-08,9.2,-0.2,4.4,52.52,13.405,DE-BER,Berlin,13.6,0.0,DE,Germany
2024-03-09,11.2,1.5,5.7,52.52,13.405,DE-BER,Berlin,12.3,0.0,DE,Germany
2024-03-10,10.0,1.1,4.9,52.52,13.405,DE-BER,Berlin,13.1,0.0,DE,Germany
2024-03-05,10.3,0.7,5.2,48.1351,11.582,DE-MUN,Munich,12.8,0.0,DE,Germany
2024-03-06,15.7,-0.7,7.0,48.1351,11.582,DE-MUN,Munich,11.0,0.0,DE,Germany
2024-03-07,7.9,-1.5,3.6,48.1351,11.582,DE-MUN,Munich,14.4,0.0,DE,Germany
2024-03-08,7.4,-1.7,1.9,48.1351,11.582,DE-MUN,Munich,16.1,0.0,DE,Germany
2024-03-09,11.7,-1.4,4.2,48.1351,11.582,DE-MUN,Munich,13.8,0.0,DE,Germany
2024-03-10,12.2,-0.5,5.6,48.1351,11.582,DE-MUN,Munich,12.4,0.0,DE,Germany
2024-03-05,6.4,0.1,3.6,53.5511,9.9937,DE-HAM,Hamburg,14.4,0.0,DE,Germany
2024-03-06,8.3,0.0,4.4,53.5511,9.9937,DE-HAM,Hamburg,13.6,0.0,DE,Germany
2024-03-07,7.3,1.5,4.1,53.5511,9.9937,DE-HAM,Hamburg,13.9,0.0,DE,Germany
2024-03-08,10.1,0.5,5.0,53.5511,9.9937,DE-HAM,Hamburg,13.0,0.0,DE,Germany
2024-03-09,10.1,0.6,5.1,53.5511,9.9937,DE-HAM,Hamburg,12.9,0.0,DE,Germany
2024-03-10,9.8,1.6,5.9,53.5511,9.9937,DE-HAM,Hamburg,12.1,0.0,DE,Germany
2024-03-05,11.7,4.0,7.5,48.8566,2.3522,FR-PAR,Paris,10.5,0.0,FR,France
2024-03-06,15.4,3.7,8.7,48.8566,2.3522,FR-PAR,Paris,9.3,0.0,FR,France
2024-03-07,10.5,1.0,5.6,48.8566,2.3522,FR-PAR,Paris,12.4,0.0,FR,France
2024-03-08,10.9,0.8,5.7,48.8566,2.3522,FR-PAR,Paris,12.3,0.0,FR,France
2024-03-09,15.3,3.4,10.0,48.8566,2.3522,FR-PAR,Paris,8.0,0.0,FR,France
2024-03-10,13.4,7.5,9.9,48.8566,2.3522,FR-PAR,Paris,8.1,0.0,FR,France
2024-03-05,12.3,4.5,8.0,45.764,4.8357,FR-LYO,Lyon,10.0,0.0,FR,France
2024-03-06,15.6,4.4,10.4,45.764,4.8357,FR-LYO,Lyon,7.6,0.0,FR,France
2024-03-07,10.1,0.7,6.3,45.764,4.8357,FR-LYO,Lyon,11.7,0.0,FR,France
2024-03-08,14.3,-0.0,6.4,45.764,4.8357,FR-LYO,Lyon,11.6,0.0,FR,France
2024-03-09,12.4,3.2,7.9,45.764,4.8357,FR-LYO,Lyon,10.1,0.0,FR,France
2024-03-10,12.9,5.3,9.5,45.764,4.8357,FR-LYO,Lyon,8.5,0.0,FR,France
2024-03-05,19.7,6.1,12.3,43.2965,5.3698,FR-MAR,Marseille,5.699999999999999,0.0,FR,France
2024-03-06,17.7,9.0,12.8,43.2965,5.3698,FR-MAR,Marseille,5.199999999999999,0.0,FR,France
2024-03-07,16.1,6.2,11.6,43.2965,5.3698,FR-MAR,Marseille,6.4,0.0,FR,France
2024-03-08,17.1,6.6,11.2,43.2965,5.3698,FR-MAR,Marseille,6.800000000000001,0.0,FR,France
2024-03-09,13.6,6.6,10.1,43.2965,5.3698,FR-MAR,Marseille,7.9,0.0,FR,France
2024-03-10,14.4,7.4,11.9,43.2965,5.3698,FR-MAR,Marseille,6.1,0.0,FR,France
2024-03-05,20.4,7.9,13.6,40.4168,-3.7038,ES-MAD,Madrid,4.4,0.0,ES,Spain
2024-03-06,20.8,6.2,13.2,40.4168,-3.7038,ES-MAD,Madrid,4.800000000000001,0.0,ES,Spain
2024-03-07,22.6,8.9,15.4,40.4168,-3.7038,ES-MAD,Madrid,2.5999999999999996,0.0,ES,Spain
2024-03-08,20.6,6.9,13.0,40.4168,-3.7038,ES-MAD,Madrid,5.0,0.0,ES,Spain
2024-03-09,13.9,5.7,8.9,40.4168,-3.7038,ES-MAD,Madrid,9.1,0.0,ES,Spain
2024-03-10,9.5,1.5,6.3,40.4168,-3.7038,ES-MAD,Madrid,11.7,0.0,ES,Spain
2024-03-05,14.6,10.6,12.9,41.3851,2.1734,ES-BCN,Barcelona,5.1,0.0,ES,Spain
2024-03-06,16.5,11.2,13.6,41.3851,2.1734,ES-BCN,Barcelona,4.4,0.0,ES,Spain
2024-03-07,17.3,10.8,13.5,41.3851,2.1734,ES-BCN,Barcelona,4.5,0.0,ES,Spain
2024-03-08,16.2,9.7,12.8,41.3851,2.1734,ES-BCN,Barcelona,5.199999999999999,0.0,ES,Spain
