date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2023-12-30,-2.3,-9.9,-6.7,48.2082,16.3738,AT-VIE,Vienna,24.7,0,AT,Austria
2023-12-31,1.1,-8.3,-3.3,48.2082,16.3738,AT-VIE,Vienna,21.3,0,AT,Austria
2024-01-01,2.3,-1.7,0.9,48.2082,16.3738,AT-VIE,Vienna,17.1,0,AT,Austria
2024-01-02,2.9,-0.1,1.2,48.2082,16.3738,AT-VIE,Vienna,16.8,0,AT,Austria
2023-12-30,-0.6,-12.9,-6.9,47.8095,13.055,AT-SAL,Salzburg,24.9,0,AT,Austria
2023-12-31,1.8,-7.6,-2.9,47.8095,13.055,AT-SAL,Salzburg,20.9,0,AT,Austria
2024-01-01,1.2,-5.9,-2.5,47.8095,13.055,AT-SAL,Salzburg,20.5,0,AT,Austria
2024-01-02,2.2,-5.9,-1.8,47.8095,13.055,AT-SAL,Salzburg,19.8,0,AT,Austria
2023-12-30,1.5,-15.1,-5.7,47.2692,11.4041,AT-INN,Innsbruck,23.7,0,AT,Austria
2023-12-31,3.6,-7.3,-2.6,47.2692,11.4041,AT-INN,Innsbruck,20.6,0,AT,Austria
2024-01-01,4.2,-5.1,-1.4,47.2692,11.4041,AT-INN,Innsbruck,19.4,0,AT,Austria
2024-01-02,4.6,-5.1,-1.2,47.2692,11.4041,AT-INN,Innsbruck,19.2,0,AT,Austria
2023-12-30,1.3,-3.4,-0.5,50.8503,4.3517,BE-BRU,Brussels,18.5,0,BE,Belgium
2023-12-31,4.9,-0.6,2.6,50.8503,4.3517,BE-BRU,Brussels,15.4,0,BE,Belgium
2024-01-01,5.6,2.0,3.8,50.8503,4.3517,BE-BRU,Brussels,14.2,0,BE,Belgium
2024-01-02,9.1,4.3,6.3,50.8503,4.3517,BE-BRU,Brussels,11.7,0,BE,Belgium
2023-12-30,0.8,-3.2,-0.4,51.2194,4.4025,BE-ANT,Antwerp,18.4,0,BE,Belgium
2023-12-31,5.1,-0.8,2.5,51.2194,4.4025,BE-ANT,Antwerp,15.5,0,BE,Belgium
